а 0,0817464833515531
б 0,0174497000458614
в 0,0465717350635409
г 0,0185441219906067
д 0,0305204755507329
е 0,0847443944605205
ж 0,0106868605167439
з 0,0165485502731951
и 0,0680589009030949
й 0,0110502436814672
к 0,0347092760411203
л 0,0487845271628353
м 0,0305307069455318
н 0,0646444258630322
о 0,11316990760151
п 0,0270364045394563
р 0,0433606511574462
с 0,0528900148670037
т 0,0605752539887542
у 0,0281683790761006
ф 0,00176733291036073
х 0,00840863246390088
ц 0,00359313093385763
ч 0,016200570417125
ш 0,00894370068200679
щ 0,00300623114429831
ъ 0,000321895420978609
ы 0,018365241230992
ь 0,0195136309724783
э 0,00310562183662981
ю 0,00609633723936506
я 0,0207542157000641
ё 0,000132445967835418
